date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,"roa__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roa__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""",sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-09-30,AAL,16.99725798637636,0.3606,4971.0,0.0154715387052487,1.0136,0.8252,0.2344,51590.2,0.0546,-11.4103,0.6039,6.4529,0.5183,1.1383,3.1965,1.2293,3.249,0.0188,0.0663,0.0388,5.1403,36.1921,17.1566,0.023,0.5427,2.3784,0.8866,19.8484,-0.0477,0.6752,0.1077,0.1598,12.4397,0.3961,537.0,3.486,0.564,1.2387,0.902,Airlines,0.3105533970387483,-4.062051480383309,-3.933220294769793,-8.637837837837838,0.9528064507951278,-1.1285172142637356,-0.0088099999999999,1.6672449003258749e-06,0.0213692207792207,0.4791230893636995,0.0025776623376623,0.541138672907711,0.0036866233766233,0.4401669238231501,-66.82802597402605,0.7820629625119395,-0.2795981818181818,0.0056347689228636,,,
2021-09-30,AAME,2.5474472430444535,0.5254,140.0,0.5813008130081301,0.0271,-0.0466,-0.0451,104.1047,0.1096,0.0093,,,0.0834,0.194,0.2407,0.1117,0.1386,-0.0187,-0.0193,0.2341,0.605,56.212,7.0409,-0.0262,0.4038,0.616,0.0197,,0.0337,0.096,0.0774,0.1054,2.4162,,137.5,0.2407,0.0834,0.194,1.5301,Insurance,-0.4846150815538571,0.9129569975287476,0.922302315238279,1.4826247176764276,0.0099014101124128,-0.0182953405082575,0.001077922077922,0.1079104192751073,0.003037922077922,0.1376469286412807,0.0025031168831168,0.1195542643396217,0.0031205194805194,0.1153729822592588,-0.8550427272727272,0.1991272180744717,0.0056225974025974,0.5444587262163098,,,
2021-09-30,AAMI,23.64231727969262,0.3005,,5.782520325203252,6.2415,0.7608,2.7584,,0.0874,-0.0439,,,0.2316,0.283,3.8074,-0.658,0.4792,1.9466,0.5369,0.0042,,,,0.4869,,,6.2415,,0.6158,1.3131,0.2698,0.2053,1.4171,,,3.8238,0.2316,0.283,2.4198,Financial Services,-13.58835829765691,9.07811911272119,-6.947699121880874,-3.494778586827916,,0.0140036882526032,,,,,,,,,,,,,,,
2021-09-30,AAPL,165.58482754615045,1.0665,63090.0,0.2784485300563432,1.0746,1.4299,1.2354,2493617.0,0.2037,5.6586,0.422,40.0303,0.3108,0.5783,1.7294,0.4804,1.4365,0.2465,0.2853,0.1528,38.0883,25.3801,25.8517,0.2789,6.5688,4.75,1.0221,17.2563,0.276,1.4412,0.5092,0.5859,5.0111,0.578,117173.0,1.9903,0.3577,0.6656,1.2191,Technology,-0.1412202559134829,-2.1269611463632563,-0.8997732440808388,-1.107069023007669,43.3497144419898,-2.3827918160289414,0.0051768831168831,2.480671777979151e-06,0.0455735064935065,1.3334173164628228e-07,0.0123477922077922,3.4184174125905524e-07,0.0123583116883116,7.813402721809452e-06,86347.85064935066,5.962887200337112e-08,0.0390158441558441,0.0042840793485543,,,
2021-09-30,AASP,0.4429032302671863,,,0.005240174672489,0.0002,,,2.897,,-0.0202,,,3.5895,0.3836,0.7358,0.4669,0.8956,,,,,,1.3133,,,,0.0,,-910.9333,,,,,,,0.9182,0.0,0.4787,0.0002,Energy,74.1782343146402,,,,5.507722291337415e-05,,,,,,,,,,,,,,,,
2021-09-30,AAT,31.300099280572702,0.1188,1245.1,1.3708133971291865,1.5,0.3635,0.1339,3739.66,0.314,1.1702,0.6633,,0.5404,0.5698,1.3243,0.5104,1.1862,0.1038,0.2818,4.3656,1.8174,95.4793,20.9556,0.1312,6.3671,1.8411,1.4298,36.6392,0.0079,0.0189,0.0083,0.0303,1.29,0.3367,1224.8,1.3243,0.5404,0.5698,1.6894,Real Estate,-1.717391304347826,0.5787874454850933,1.4902193656560012,4.050928575144359,0.4097395097083467,0.6569378149881823,-0.0006512987012987,3.3737885598816034e-05,-0.0018914285714285,3.497433831152989e-07,-0.0006984415584415,2.719716548363805e-05,-0.0009668831168831,1.0309776847648635e-05,22.7037922077922,0.1404504842069173,-0.0041884415584415,0.0862727700038284,,,
2021-09-30,AATC,4.405696753532656,0.6031,20.62,11.805555555555555,18.125,0.1325,0.1138,31.0562,0.1234,0.432,0.8226,4.5441,0.0,0.0,0.0,-0.4122,-0.4122,0.1865,0.2171,,1.9183,13.8308,12.5121,0.2171,3.0616,2.2148,15.2639,4.3719,0.1335,0.141,0.1394,0.1375,0.6101,0.1804,17.86,0.0,0.0,0.0,29.6389,Electrical Equipment,-0.4595442932108052,-0.6823171163515331,-1.1262241781339288,-1.119640126313281,0.0077723644938569,0.5210747826630483,0.0037431168831168,0.426164578365511,0.001964935064935,0.7101449337535857,0.0018090909090909,0.7327333607246838,-0.0042925974025974,0.1155098816870478,0.2966820779220779,0.1231492085524021,0.0040297402597402,0.2304710901428679,,,
2021-09-30,ABAT,14.397580654390396,,,18.73877551020408,19.4694,-0.4671,-0.4666,,,-0.5227,,,9.0,,,-0.7947,-0.7947,,,,,,,,,,18.7388,,-2.5324,,,,0.0,,,0.0,0.0,0.0,24.5755,Metals & Mining,7.581819737104731,,,,,-0.9280616395494368,,,,,,,,,,,,,,,
2021-09-30,ABCL,9.468225825217464,0.3981,953.4,10.45858585858586,16.2364,-0.1008,-0.0767,5118.28,,0.7543,,,,,,-0.5403,-0.5412,-3.8909,-5.1091,,5.9097,,,-4.5455,12.6984,7.0026,16.103,15.2474,0.1888,0.227,0.2266,0.3055,0.0197,,804.6,0.0018,0.0014,0.0018,5.3475,Life Sciences Tools & Services,-12.593294716517462,1.254891691761591,-6.954850173653177,-30.0595546349042,0.3130414995629368,-0.2062826153688734,,,,,,,,,,,,,,,
2021-09-30,ABEV,2.517010708009043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
